sl_no,judge_name,states,districts
308,L Mohapatra,,Nagda
309,L Narayana Swamy,,Neemuch
310,L Prasad,,Niwari
311,Lisa Gill,,Panna
312,Lokeshwar Singh Panta,,Raisen
313,M Anwar,,Rajgarh
314,M B Lokur,,Ratlam
315,M B Shah,,Rewa
316,M B Shah Comion,,Sagar
317,M C Hari Rani,,Satna
318,M Chinnappa,,Sehore
319,M Chockalingam,,Seoni
320,M Duraiswamy,,Shahdol
321,M Eqbal,,Shajapur
322,M Govindaraj,,Sheopur
323,M J Rao,,Shivpuri
324,M Jagannadha Rao,,Sidhi
325,M Jaichandren,,Singrauli
326,M K Mudgal,,Tikamgarh
327,M Karpagavinayagam,,Ujjain
328,M Katju,,Umaria
329,M M Das,,Vidisha
330,M M Kumar,,Ahmednagar
331,M M Sundresh,,Akola
332,M Menon,,Amravati
333,M N Krishnan,,Aurangabad
334,M Narain,,Beed
335,M P Menon,,Bhandara
336,M Ranga,,Buldhana
337,M Rao,,Chandrapur
338,M S Karnik,,Dhule
339,M S Nambiar,,Gadchiroli
340,M S Shah,,Gondia
341,M S Sonak,,Hingoli
342,M Sasidharan Nambiar,,Jalgaon
343,M Sathyanarayanan,,Jalna
344,M Satyanarayana Murthy,,Kolhapur
345,M Shah,,Latur
346,M Shantanagoudar,,Mumbai City
347,M Sharma,,Mumbai suburban
348,M Singhal,,Nanded
349,M Sundar,,Nandurbar
350,M Suresh,,Nagpur
351,M Venugopal,,Nashik
352,M Verma,,Osmanabad
353,M Yamin,,Palghar
354,Madan B Lokur,,Parbhani
355,Mahabir Singh Sindhu,,Pune
356,Mahavir S Chauhan,,Raigad
357,Mahesh Bhagwati,,Ratnagiri
358,Mahesh Chandra Sharma,,Sangli
359,Mahinder Narain,,Satara
360,Manju Goel,,Sindhudurg
361,Manjula Chellur,,Solapur
362,H Billappa,,Thane
363,Manoj Kumar,,Wardha
364,Mary Joseph,,Washim
365,Mehinder Singh Sullar,,Yavatmal
366,Michael Cunhaohn,,Bishnupur
367,Mohammad Nawaz,,Chandel
368,Mohammad Rafiq,,Churachandpur
369,Mohinder Pal,,Imphal East
370,Mohit S Shah,,Imphal West
371,Mridula Bhatkar,,Jiribam
372,Mukundakam Sharma,,Kakching
373,N Ananda,,Kamjong
374,N Balasubramanian,,Kangpokpi
