Sl_No,Kanoon_id,date
398,153518132,"17 June, 2011"
399,1032625,"10 April, 2007"
400,1648401,"8 April, 1999"
401,87509746,"26 August, 2019"
402,19063260,"20 August, 2010"
403,198473287,"30 August, 2019"
404,142826705,"1 July, 2013"
405,68036646,"1 August, 2011"
406,101395842,"28 March, 2012"
407,139290025,"7 June, 2019"
408,160934727,"20 June, 2016"
409,73077916,"6 September, 2014"
410,63398356,"9 April, 2013"
411,180734835,"4 January, 2016"
412,49039158,"11 October, 2013"
413,1569,"30 July, 2009"
414,20982084,"13 July, 2016"
415,1150289,"24 January, 1994"
416,125798491,"1 March, 2013"
417,178108048,"20 August, 2019"
418,90704968,"18 August, 2020"
419,155329539,"31 May, 2017"
420,180993556,"11 November, 2013"
421,132706439,"12 March, 2015"
422,75454078,"12 April, 2019"
423,52604679,"21 April, 2014"
424,177665833,"10 February, 2016"
425,60643309,"9 May, 2018"
426,10338610,"22 January, 2010"
427,54993525,"17 November, 2014"
428,86660742,"9 May, 2013"
429,58786397,"29 September, 2016"
430,1962096,"20 October, 2009"
431,625077,"29 August, 1996"
432,62550860,"11 September, 2012"
433,189834703,"18 February, 2013"
434,76126349,"9 March, 2018"
435,153813687,"22 April, 2019"
436,115294621,"13 September, 2017"
437,62926902,"23 July, 2010"
438,472216,"4 January, 2008"
439,14133251,"29 September, 2016"
440,519514,"2 July, 1997"
441,181660787,"22 July, 2014"
442,78695684,"15 April, 2010"
443,24040188,"17 April, 2017"
444,580827,"25 August, 2005"
445,160136551,"12 May, 2015"
446,62863148,"26 April, 2013"
447,17412822,"29 July, 2019"
448,150445583,"4 December, 2019"
449,47008420,"20 September, 2016"
450,910567,"9 April, 2010"
451,69601707,
452,85178995,
453,998721,
454,197329301,
455,140826346,
456,128043853,
457,76264550,
458,15133180,
459,82427139,
460,1832962,
461,977238,
462,41759597,
463,25966316,
464,89086622,
465,79587908,
466,194677616,
467,1387704,
468,54051940,
469,175309015,
470,85817568,
471,58889970,
472,29738596,
473,185663779,
474,82693444,
475,168610061,
476,618771,
477,199610,
478,40109720,
479,82089810,
480,47265660,
481,47280478,
482,63467540,
483,1520538,
484,875967,
485,1242032,
486,1387985,
487,252884,
488,50910024,
489,182233268,
490,1830087,
491,1000673,
492,122790471,
493,82201393,
494,86590276,
495,61155184,
496,14123714,
497,1066877,
498,139649278,
499,72251963,
500,156928851,
501,138053554,
502,1918380,
503,167818082,
504,149064586,
505,3521825,
506,86368834,
507,28619795,
508,1117405,
509,102466275,
510,46514517,
511,998978,
512,18273157,
513,131238964,
514,22466051,
515,67322213,
516,1863641,
517,182225619,
518,1859293,
519,126942623,
520,1186623,
521,92921,
522,51170835,
523,255835,
524,979716,
525,1575917,
526,62549836,
527,184254528,
528,63996750,
529,87710388,
530,138503877,
531,1163016,
532,167264168,
533,1299151,
534,1977090,
535,251686,
536,1595125,
537,1718419,
538,120015462,
539,126095918,
540,123693681,
541,144218125,
542,29322105,
543,1967396,
544,115226342,
545,75816080,
546,258917,
547,1750888,
548,1487611,
549,173728,
550,13670760,
551,116790806,
552,117909856,
553,67233224,
554,74002312,
555,127313,
556,145682609,
557,107759594,
558,51536758,
559,551072,
560,710418,
561,126065948,
562,123551693,
563,9177850,
564,90919990,
565,4367503,
566,1026316,
567,66136848,
568,500491,
569,133433849,
570,6913940,
571,177021142,
572,1321127,
573,105249116,
574,87837698,
575,66588558,
576,754186,
577,1339065,
578,33343147,
579,138367568,
580,159039727,
581,133898370,
582,946037,
583,1854706,
584,16289546,
585,188942113,
586,103140438,
587,176656447,
588,91099,
589,59227450,
590,10484767,
591,162153750,
592,68700612,
593,1099579,
594,14917249,
595,1271617,
596,188700046,
597,196999,
598,29974386,
599,191154033,
600,123583503,
601,132359343,
602,1900138,
603,48945721,
604,135723482,
605,55329102,
606,164215046,
607,20430135,
608,156821770,
609,189612976,
610,161901835,
611,42642048,
612,131061770,
613,37669325,
614,5787869,
615,92409418,
616,69132800,
617,68098,
618,135152586,
619,70663446,
620,57050012,
621,180404576,
622,759406,
623,11626,
624,117868756,
625,664725,
626,922538,
627,87615822,
628,9756773,
629,94923135,
630,362894,
631,586071,
632,127046880,
633,11994158,
634,57275293,
635,112360781,
636,185808,
637,132117955,
638,1637420,
639,186075,
640,161340604,
641,123860596,
642,159046429,
643,149632739,
644,25258,
645,1065363,
646,82754866,
647,1388400,
648,1719198,
649,156290728,
650,7912648,
651,93254244,
652,14406,
653,86711011,
654,43811250,
655,113942181,
656,165225831,
657,9814484,
658,72923507,
659,1314958,
660,160831025,
661,113119677,
662,13537505,
663,1849002,
664,2806990,
665,463266,
666,146960269,
667,144466989,
668,156167610,
669,330279,
670,1363767,
671,60055340,
672,885425,
673,25001391,
674,166876296,
675,14786988,
676,12348374,
677,143772474,
678,73185721,
679,1792452,
680,25384032,
681,134692170,
682,1191661,
683,177954677,
684,324892,
685,47239023,
686,81091491,
687,1590470,
688,171594204,
689,160461584,
690,99295005,
691,183878290,
692,154188161,
693,130098986,
694,271510,
695,98303609,
696,9814805,
697,23048804,
698,716041,
699,58003943,
700,196893265,
701,985034,
702,420149,
703,197914504,
704,37761444,
705,96327127,
706,1964045,
707,176687366,
708,162917990,
709,69486353,
710,172658265,
711,1416566,
712,121579361,
713,159411520,
714,191597707,
715,403966,
716,178566076,
717,310600,
718,1741514,
719,65794558,
720,139108441,
721,605517,
722,63428441,
723,89757253,
724,20973217,
725,175692890,
726,1146608,
727,192715669,
728,128855672,
729,145027611,
