Sl_No,Kanoon_id,date
537,1718419,15-Mar-10
538,120015462,31-Jan-14
539,126095918,31-Aug-15
540,123693681,26-Dec-12
541,144218125,22-Oct-19
542,29322105,31-Dec-19
543,1967396,11-Oct-11
544,115226342,06-Dec-17
545,75816080,24-Feb-20
546,258917,22-Jul-08
547,1750888,30-Jun-04
548,1487611,26-Nov-07
549,173728,06-Apr-93
550,13670760,06-Jan-17
551,116790806,28-Mar-14
552,117909856,28-Nov-17
553,67233224,06-Dec-13
554,74002312,14-Dec-17
555,127313,21-Mar-02
556,145682609,08-Nov-11
557,107759594,17-May-12
558,51536758,02-Jul-15
559,551072,19-Feb-09
560,710418,12-Dec-08
561,126065948,14-Dec-11
562,123551693,26-Sep-03
563,9177850,01-Apr-14
564,90919990,31-Jan-13
565,4367503,26-Jul-18
566,1026316,26-Sep-05
567,66136848,20-Aug-10
568,500491,21-Apr-92
569,133433849,08-Aug-13
570,6913940,10-Dec-19
571,177021142,13-Feb-19
572,1321127,07-Oct-08
573,105249116,30-Jul-18
574,87837698,22-Jan-18
575,66588558,02-Dec-14
576,754186,22-Mar-99
577,1339065,12-Aug-09
578,33343147,06-Sep-19
579,138367568,26-Dec-12
580,159039727,08-May-18
581,133898370,18-Nov-19
582,946037,16-Mar-01
583,1854706,12-Nov-07
584,16289546,16-Nov-15
585,188942113,09-Jun-11
586,103140438,07-Oct-16
587,176656447,23-Sep-19
588,91099,09-Feb-07
589,59227450,29-Sep-16
590,10484767,30-Sep-10
591,162153750,19-Jul-16
592,68700612,19-Feb-13
593,1099579,02-Jul-08
594,14917249,13-Nov-18
595,1271617,19-Dec-96
596,188700046,06-Dec-13
597,196999,01-Feb-07
598,29974386,24-Feb-15
599,191154033,19-Jan-17
600,123583503,27-Oct-15
601,132359343,11-May-18
602,1900138,10-Jan-11
603,48945721,07-Oct-16
604,135723482,01-Apr-20
605,55329102,11-Mar-15
606,164215046,23-Apr-15
607,20430135,08-Jan-20
608,156821770,11-Feb-15
609,189612976,08-Nov-18
610,161901835,18-Dec-16
611,42642048,27-Apr-18
612,131061770,20-Nov-18
613,37669325,20-Mar-18
614,5787869,12-Jan-17
615,92409418,25-Apr-11
